date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:34	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2031%20Mar%202023%2002:35:35%20GMT	https://escamboo.com/robots.txt		(from )
23:35:35	143259/143259	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Mar%202023%2007:37:40%20GMT	https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M	C:/Os%20meus%20Sites/test/escamboo.com/lp-metodo-mines-pro/indexeb7b.html	(from )
23:35:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Mar%202023%2002:35:36%20GMT	http://escamboo.com/wp-content/cache/wpfc-minified/lm76xaw5/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/lm76xaw5/owe0.0.delayed	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:36	284272/284272	---MCZ	200	added ('OK')	text/css	etag:W/%226423eac4-45670%22	https://escamboo.com/wp-content/cache/wpfc-minified/lm76xaw5/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/lm76xaw5/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:36	94889/94889	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2014:56:45%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:36	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:37	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:37	217/217	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	C:/Os%20meus%20Sites/test/c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Mar%202023%2002:35:38%20GMT	http://escamboo.com/wp-content/cache/wpfc-minified/9ktomm2w/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/9ktomm2w/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
23:35:37	225305/225305	---MCZ	200	added ('OK')	text/css	etag:W/%226423eac4-37019%22	https://escamboo.com/wp-content/cache/wpfc-minified/9ktomm2w/owe0.css	C:/Os%20meus%20Sites/test/escamboo.com/wp-content/cache/wpfc-minified/9ktomm2w/owe0.css	(from https://escamboo.com/lp-metodo-mines-pro/?fbclid=PAAaZz2hdifpBds8Yaz958VjGo3cc3D7LbfGMSqvHNE7cbb-FRyemkzMR0N_E_aem_AZ1Zd3IZQOUNUS562DPfqER71rmNlwYYUDfEyRZFo0wXq_TOJVqy0jn49fsiPjJuXGmW-9FbHlTtZfKeROl9yZIJm0hYve_vgMDcUd_iYrvPXEjP7kYEJr5Yb-CM4MSaJ2M)
